lead_time_days,product_name
30.0,Seals - Amers
30.0,Seal type gin (Chine)
,Produits finis - Averse - Caisses (3 x 1.14L) - London Dry Gin
,Produits finis - Averse - Caisses (3 x 1.14L) - Liqueur orange
,Produits finis - Averse - Caisses (3 x 1.14L) - Liqueur Café
,Produits finis - Averse - Caisses (12 x 1.14L) - Vodka Premium
,Produits finis - Averse - Caisses (12 x 1.14L) - Vodka Mangue
,Produits finis - Averse - Caisses (12 x 1.14L) - Tequila ancienne
,Produits finis - Averse - Caisses (12 x 1.14L) - Tequila
,Produits finis - Averse - Caisses (12 x 1.14L) - Rhum Épicé
,Produits finis - Averse - Caisses (12 x 1.14L) - London Dry Gin
,Produits finis - Averse - Caisses (12 x 1.14L) - Liqueur orange
,Produits finis - Opemiska - Boite coffret - 3X3X375ML GIN
,Produits finis - Cherry River - Boite coffret - 3X375ML GIN
,Produit fini - coffret gins aromatisés
,Coffret réconfort - produit fini
,Calendrier de l’avent - Cherry River 
7.0,Neutral 500 plus
,Produits finis - Averse - Liqueur d'orange - 1.14L
,Produits finis - Averse - Liqueur Café - 1.14L
,Produits finis - Averse - Dry Gin - 1.14L
,Produits finis - Averse - Caisses (3 x 1.14L) - Vodka Pomme
,Produits finis - Averse - Caisses (3 x 1.14L) - Vodka Mangue
,Produits finis - Averse - Caisses (3 x 1.14L) - Vodka Framboise
,Produits finis - Averse - Caisses (3 x 1.14L) - Tequila
,Produits finis - Averse - Caisses (3 x 1.14L) - Rhum Épicé
,Produits finis - Averse - Caisses (3 x 1.14L) - Rhum Ambre
,Produits finis - Averse - Tequila (Vieux) - 1.14L
,Produits finis - Averse - Rhum Épicé - 1.14L
,Produits finis - Averse - Rhum Ambré - 1.14L
,Produits finis - Averse - London Dry Gin - 1.14l
,Produits finis - Averse - Liqueur de Vanille - 1.14L
,Produits finis - Averse - Caisses (12x750ml) - Vodka mangue
,Produits finis - Averse - Caisses (12x750ml) - Vodka Pomme
,Produits finis - Averse - Caisses (12x750ml) - Vodka Framboise
,Produits finis - Averse - Caisses (12x750ml) - Vodka
,Produits finis - Averse - Caisses (12x750ml) - Liqueur d'orange
,Produits finis - Cherry River - Tequila Silver - 1.14l
,Produits finis - Averse - Vodka Premium - 1.14L
,Produits finis - Averse - Vodka Pomme - 1.14L
,Produits finis - Averse - Vodka Mangue - 1.14L
,Produits finis - Averse - Vodka Framboise - 1.14L
,Produits finis - CDL - Caisses (12 X 1L) - Rhum Ambré
,Produits finis - CDL - Caisses (12 X 1L) - Gin floral
,Produits finis - Averse Vodka Framboise - 750ml
,Produits finis - Averse - Vodka Pomme - 750ml
,Produits finis - Averse - Vodka Mangue - 750ml
,Produits finis - Averse - Vodka - 750ml
